시군구명,도로명(가로)명,설치위치,관리기관명,관리기관전화번호
서대문구,통일로,통일로 버스정류장(13-122),서울특별시 서대문구청,02-330-1521
서대문구,통일로,통일로357 (무악재역4번출구),서울특별시 서대문구청,02-330-1521
서대문구,통일로,통일로279 (대한노인회),서울특별시 서대문구청,02-330-1521
서대문구,통일로,통일로 버스정류장(13-250),서울특별시 서대문구청,02-330-1521
서대문구,통일로,충현동 통일로81,서울특별시 서대문구청,02-330-1521
서대문구,통일로,통일로81 동북아역사재단,서울특별시 서대문구청,02-330-1521
서대문구,통일로,통일로81 동북아역사재단,서울특별시 서대문구청,02-330-1521
서대문구,통일로,홍제2동 통일로354 (무악재역 2번출구),서울특별시 서대문구청,02-330-1521
서대문구,통일로,홍제3동 통일로 478,서울특별시 서대문구청,02-330-1521
서대문구,통일로,통일로127(충정로2가),서울특별시 서대문구청,02-330-1521
서대문구,통일로,통일로139(냉천동),서울특별시 서대문구청,02-330-1521
서대문구,통일로,통일로423-1(홍제동),서울특별시 서대문구청,02-330-1521
서대문구,세검정로,세검정로 버스정류장(13-164),서울특별시 서대문구청,02-330-1521
서대문구,세검정로,세검정로134 유원하나아파트,서울특별시 서대문구청,02-330-1521
서대문구,세검정로,홍은사회복지관별관(13-541),서울특별시 서대문구청,02-330-1521
서대문구,세검정로,유원하나아파트(13-170),서울특별시 서대문구청,02-330-1521
서대문구,세검정로,유원하나아파트(13-171),서울특별시 서대문구청,02-330-1521
서대문구,세검정로,홍지문(13-173),서울특별시 서대문구청,02-330-1521
서대문구,세검정로,서울여자간호대학교.홍은초등학교(13-168),서울특별시 서대문구청,02-330-1521
서대문구,세검정로,서울여자간호대학교.홍은초등학교(13-169),서울특별시 서대문구청,02-330-1521
서대문구,세검정로,문화촌현대아파트(13-167),서울특별시 서대문구청,02-330-1521
서대문구,세검정로,유진상가(13-165),서울특별시 서대문구청,02-330-1521
서대문구,연희로,홍은현대아파트(13-163),서울특별시 서대문구청,02-330-1521
서대문구,연희로,홍은2동 연희로271-1,서울특별시 서대문구청,02-330-1521
서대문구,연희로,동신병원.홍제폭포(13-158),서울특별시 서대문구청,02-330-1521
서대문구,연희로,연희동 연희로247,서울특별시 서대문구청,02-330-1521
서대문구,연희로,한성화교중고교.서대문소방서(13-153),서울특별시 서대문구청,02-330-1521
서대문구,연희로,연희동 연희로125,서울특별시 서대문구청,02-330-1521
서대문구,연희로,연희3거리(13-151),서울특별시 서대문구청,02-330-1521
서대문구,연희로,연희교차로(13-149),서울특별시 서대문구청,02-330-1521
서대문구,연희로,연희동대우아파트(13-147),서울특별시 서대문구청,02-330-1521
서대문구,연희로,한성화교중고교.서대문소방서(13-152),서울특별시 서대문구청,02-330-1521
서대문구,연희로,서대문자연사박물관입구(13-154),서울특별시 서대문구청,02-330-1521
서대문구,연희로,서대문구청.보건소.구의회(13-156),서울특별시 서대문구청,02-330-1521
서대문구,연희로,연희동 연희로248 서대문구청,서울특별시 서대문구청,02-330-1521
서대문구,연희로,서대문보건소별관.홍제폭포(13-159),서울특별시 서대문구청,02-330-1521
서대문구,연희로,정원여중(13-160),서울특별시 서대문구청,02-330-1521
서대문구,연희로,정원여중.스위트그랜드호텔(13-161),서울특별시 서대문구청,02-330-1521
서대문구,연희로,홍은현대아파트.스위트그랜드호텔(13-162),서울특별시 서대문구청,02-330-1521
서대문구,충정로,충정로2가191(국민은행),서울특별시 서대문구청,02-330-1521
서대문구,충정로,충정로77,서울특별시 서대문구청,02-330-1521
서대문구,충정로,미동초등학교(13-240),서울특별시 서대문구청,02-330-1521
서대문구,신촌로,웨딩타운(13-617),서울특별시 서대문구청,02-330-1521
서대문구,신촌로,동교동삼거리(13-019),서울특별시 서대문구청,02-330-1521
서대문구,신촌로,신촌오거리.2호선신촌역(13-023),서울특별시 서대문구청,02-330-1521
